person_relationship_id,person_relationship_sequence,person_id_1,relationship_type,person_id_2,relationship_category,reference_id,relationship_notes
Togarmah_1:Gomer_1:98,98,Togarmah_1,son,Gomer_1,inferred,GEN 10:3,
Javan_1:Elishah_1:99,99,Javan_1,father,Elishah_1,explicit,GEN 10:4,
Elishah_1:Javan_1:100,100,Elishah_1,son,Javan_1,inferred,GEN 10:4,
Javan_1:Tarshish_1:101,101,Javan_1,father,Tarshish_1,explicit,GEN 10:4,
Tarshish_1:Javan_1:102,102,Tarshish_1,son,Javan_1,inferred,GEN 10:4,
Javan_1:Kittim_1:103,103,Javan_1,father,Kittim_1,explicit,GEN 10:4,
Kittim_1:Javan_1:104,104,Kittim_1,son,Javan_1,inferred,GEN 10:4,
Javan_1:Dodanim_1:105,105,Javan_1,father,Dodanim_1,explicit,GEN 10:4,
Dodanim_1:Javan_1:106,106,Dodanim_1,son,Javan_1,inferred,GEN 10:4,
Ham_1:Cush_1:107,107,Ham_1,father,Cush_1,explicit,GEN 10:6,
Cush_1:Ham_1:108,108,Cush_1,son,Ham_1,inferred,GEN 10:6,
Ham_1:Mizraim_1:109,109,Ham_1,father,Mizraim_1,explicit,GEN 10:6,
Mizraim_1:Ham_1:110,110,Mizraim_1,son,Ham_1,inferred,GEN 10:6,
Ham_1:Put_1:111,111,Ham_1,father,Put_1,explicit,GEN 10:6,
Put_1:Ham_1:112,112,Put_1,son,Ham_1,inferred,GEN 10:6,
Cush_1:Seba_1:113,113,Cush_1,father,Seba_1,explicit,GEN 10:7,
Seba_1:Cush_1:114,114,Seba_1,son,Cush_1,inferred,GEN 10:7,
Cush_1:Havilah_1:115,115,Cush_1,father,Havilah_1,explicit,GEN 10:7,
Havilah_1:Cush_1:116,116,Havilah_1,son,Cush_1,inferred,GEN 10:7,
Cush_1:Sabtah_1:117,117,Cush_1,father,Sabtah_1,explicit,GEN 10:7,
Sabtah_1:Cush_1:118,118,Sabtah_1,son,Cush_1,inferred,GEN 10:7,
Cush_1:Raamah_1:119,119,Cush_1,father,Raamah_1,explicit,GEN 10:7,
Raamah_1:Cush_1:120,120,Raamah_1,son,Cush_1,inferred,GEN 10:7,
Cush_1:Sabteca_1:121,121,Cush_1,father,Sabteca_1,explicit,GEN 10:7,
Sabteca_1:Cush_1:122,122,Sabteca_1,son,Cush_1,inferred,GEN 10:7,
Raamah_1:Sheba_1:123,123,Raamah_1,father,Sheba_1,explicit,GEN 10:7,
Sheba_1:Raamah_1:124,124,Sheba_1,son,Raamah_1,inferred,GEN 10:7,
Raamah_1:Dedan_1:125,125,Raamah_1,father,Dedan_1,explicit,GEN 10:7,
Dedan_1:Raamah_1:126,126,Dedan_1,son,Raamah_1,inferred,GEN 10:7,
Cush_1:Nimrod_1:127,127,Cush_1,father,Nimrod_1,explicit,GEN 10:8,
Nimrod_1:Cush_1:128,128,Nimrod_1,son,Cush_1,inferred,GEN 10:8,
Mizraim_1:Lud_1:129,129,Mizraim_1,father,Lud_1,explicit,GEN 10:13,
Lud_1:Mizraim_1:130,130,Lud_1,son,Mizraim_1,inferred,GEN 10:13,
Mizraim_1:Anam_1:131,131,Mizraim_1,father,Anam_1,explicit,GEN 10:13,
Anam_1:Mizraim_1:132,132,Anam_1,son,Mizraim_1,inferred,GEN 10:13,
Mizraim_1:Lehab_1:133,133,Mizraim_1,father,Lehab_1,explicit,GEN 10:13,
Lehab_1:Mizraim_1:134,134,Lehab_1,son,Mizraim_1,inferred,GEN 10:13,
Mizraim_1:Naphtuh_1:135,135,Mizraim_1,father,Naphtuh_1,explicit,GEN 10:13,
Naphtuh_1:Mizraim_1:136,136,Naphtuh_1,son,Mizraim_1,inferred,GEN 10:13,
Mizraim_1:Pathrus_1:137,137,Mizraim_1,father,Pathrus_1,explicit,GEN 10:14,
Pathrus_1:Mizraim_1:138,138,Pathrus_1,son,Mizraim_1,inferred,GEN 10:14,
Mizraim_1:Casluh_1:139,139,Mizraim_1,father,Casluh_1,explicit,GEN 10:14,
Casluh_1:Mizraim_1:140,140,Casluh_1,son,Mizraim_1,inferred,GEN 10:14,
Mizraim_1:Caphtor_1:141,141,Mizraim_1,father,Caphtor_1,explicit,GEN 10:14,
Caphtor_1:Mizraim_1:142,142,Caphtor_1,son,Mizraim_1,inferred,GEN 10:14,
Canaan_1:Sidon_1:143,143,Canaan_1,father,Sidon_1,explicit,GEN 10:15,
Sidon_1:Canaan_1:144,144,Sidon_1,son,Canaan_1,inferred,GEN 10:15,
Canaan_1:Heth_1:145,145,Canaan_1,father,Heth_1,explicit,GEN 10:15,
Heth_1:Canaan_1:146,146,Heth_1,son,Canaan_1,inferred,GEN 10:15,
Canaan_1:Jebus_1:147,147,Canaan_1,father,Jebus_1,explicit,GEN 10:16,
Jebus_1:Canaan_1:148,148,Jebus_1,son,Canaan_1,inferred,GEN 10:16,
Canaan_1:Amor_1:149,149,Canaan_1,father,Amor_1,explicit,GEN 10:16,
Amor_1:Canaan_1:150,150,Amor_1,son,Canaan_1,inferred,GEN 10:16,
Canaan_1:Girgas_1:151,151,Canaan_1,father,Girgas_1,explicit,GEN 10:16,
Girgas_1:Canaan_1:152,152,Girgas_1,son,Canaan_1,inferred,GEN 10:16,
Canaan_1:Hivi_1:153,153,Canaan_1,father,Hivi_1,explicit,GEN 10:17,
Hivi_1:Canaan_1:154,154,Hivi_1,son,Canaan_1,inferred,GEN 10:17,
Canaan_1:Ark_1:155,155,Canaan_1,father,Ark_1,explicit,GEN 10:17,
Ark_1:Canaan_1:156,156,Ark_1,son,Canaan_1,inferred,GEN 10:17,
Canaan_1:Sini_1:157,157,Canaan_1,father,Sini_1,explicit,GEN 10:17,
Sini_1:Canaan_1:158,158,Sini_1,son,Canaan_1,inferred,GEN 10:17,
Canaan_1:Arvad_1:159,159,Canaan_1,father,Arvad_1,explicit,GEN 10:18,
Arvad_1:Canaan_1:160,160,Arvad_1,son,Canaan_1,inferred,GEN 10:18,
Canaan_1:Zemar_1:161,161,Canaan_1,father,Zemar_1,explicit,GEN 10:18,
Zemar_1:Canaan_1:162,162,Zemar_1,son,Canaan_1,inferred,GEN 10:18,
Canaan_1:Hamath_1:163,163,Canaan_1,father,Hamath_1,explicit,GEN 10:18,
Hamath_1:Canaan_1:164,164,Hamath_1,son,Canaan_1,inferred,GEN 10:18,
Shem_1:Elam_1:165,165,Shem_1,father,Elam_1,inferred,GEN 10:22,
Elam_1:Shem_1:166,166,Elam_1,son,Shem_1,explicit,GEN 10:22,
Shem_1:Asshur_1:167,167,Shem_1,father,Asshur_1,inferred,GEN 10:22,
Asshur_1:Shem_1:168,168,Asshur_1,son,Shem_1,explicit,GEN 10:22,
Shem_1:Arpachshad_1:169,169,Shem_1,father,Arpachshad_1,inferred,GEN 10:22,
Arpachshad_1:Shem_1:170,170,Arpachshad_1,son,Shem_1,explicit,GEN 10:22,
Shem_1:Lud_2:171,171,Shem_1,father,Lud_2,inferred,GEN 10:22,
Lud_2:Shem_1:172,172,Lud_2,son,Shem_1,explicit,GEN 10:22,
Shem_1:Aram_1:173,173,Shem_1,father,Aram_1,inferred,GEN 10:22,
Aram_1:Shem_1:174,174,Aram_1,son,Shem_1,explicit,GEN 10:22,
Aram_1:Uz_1:175,175,Aram_1,father,Uz_1,inferred,GEN 10:23,
Uz_1:Aram_1:176,176,Uz_1,son,Aram_1,explicit,GEN 10:23,
Aram_1:Hul_1:177,177,Aram_1,father,Hul_1,inferred,GEN 10:23,
Hul_1:Aram_1:178,178,Hul_1,son,Aram_1,explicit,GEN 10:23,
Aram_1:Gether_1:179,179,Aram_1,father,Gether_1,inferred,GEN 10:23,
Gether_1:Aram_1:180,180,Gether_1,son,Aram_1,explicit,GEN 10:23,
Aram_1:Mash_1:181,181,Aram_1,father,Mash_1,inferred,GEN 10:23,
Mash_1:Aram_1:182,182,Mash_1,son,Aram_1,explicit,GEN 10:23,
Arpachshad_1:Shelah_1:183,183,Arpachshad_1,father,Shelah_1,explicit,GEN 10:24,
Shelah_1:Arpachshad_1:184,184,Shelah_1,son,Arpachshad_1,inferred,GEN 10:24,
Shelah_1:Eber_1:185,185,Shelah_1,father,Eber_1,explicit,GEN 10:24,
Eber_1:Shelah_1:186,186,Eber_1,son,Shelah_1,inferred,GEN 10:24,
Eber_1:Peleg_1:187,187,Eber_1,father,Peleg_1,inferred,GEN 10:25,
Peleg_1:Eber_1:188,188,Peleg_1,son,Eber_1,explicit,GEN 10:25,
Eber_1:Joktan_1:189,189,Eber_1,father,Joktan_1,inferred,GEN 10:25,
Joktan_1:Eber_1:190,190,Joktan_1,son,Eber_1,explicit,GEN 10:25,
Joktan_1:Almodad_1:191,191,Joktan_1,father,Almodad_1,explicit,GEN 10:26,
Almodad_1:Joktan_1:192,192,Almodad_1,son,Joktan_1,inferred,GEN 10:26,
Joktan_1:Sheleph_1:193,193,Joktan_1,father,Sheleph_1,explicit,GEN 10:26,
Sheleph_1:Joktan_1:194,194,Sheleph_1,son,Joktan_1,inferred,GEN 10:26,
Joktan_1:Hazarmaveth_1:195,195,Joktan_1,father,Hazarmaveth_1,explicit,GEN 10:26,
Hazarmaveth_1:Joktan_1:196,196,Hazarmaveth_1,son,Joktan_1,inferred,GEN 10:26,
Joktan_1:Jerah_1:197,197,Joktan_1,father,Jerah_1,explicit,GEN 10:26,
Jerah_1:Joktan_1:198,198,Jerah_1,son,Joktan_1,inferred,GEN 10:26,
Joktan_1:Hadoram_1:199,199,Joktan_1,father,Hadoram_1,explicit,GEN 10:27,
Hadoram_1:Joktan_1:200,200,Hadoram_1,son,Joktan_1,inferred,GEN 10:27,
Joktan_1:Uzal_1:201,201,Joktan_1,father,Uzal_1,explicit,GEN 10:27,
Uzal_1:Joktan_1:202,202,Uzal_1,son,Joktan_1,inferred,GEN 10:27,
Joktan_1:Diklah_1:203,203,Joktan_1,father,Diklah_1,explicit,GEN 10:27,
Diklah_1:Joktan_1:204,204,Diklah_1,son,Joktan_1,inferred,GEN 10:27,
Joktan_1:Obal_1:205,205,Joktan_1,father,Obal_1,explicit,GEN 10:28,
Obal_1:Joktan_1:206,206,Obal_1,son,Joktan_1,inferred,GEN 10:28,
Joktan_1:Abimael_1:207,207,Joktan_1,father,Abimael_1,explicit,GEN 10:28,
Abimael_1:Joktan_1:208,208,Abimael_1,son,Joktan_1,inferred,GEN 10:28,
Joktan_1:Sheba_2:209,209,Joktan_1,father,Sheba_2,explicit,GEN 10:28,
Sheba_2:Joktan_1:210,210,Sheba_2,son,Joktan_1,inferred,GEN 10:28,
Joktan_1:Ophir_1:211,211,Joktan_1,father,Ophir_1,explicit,GEN 10:29,
Ophir_1:Joktan_1:212,212,Ophir_1,son,Joktan_1,inferred,GEN 10:29,
Joktan_1:Havilah_2:213,213,Joktan_1,father,Havilah_2,explicit,GEN 10:29,
Havilah_2:Joktan_1:214,214,Havilah_2,son,Joktan_1,inferred,GEN 10:29,
Joktan_1:Jobab_1:215,215,Joktan_1,father,Jobab_1,explicit,GEN 10:29,
Jobab_1:Joktan_1:216,216,Jobab_1,son,Joktan_1,inferred,GEN 10:29,
Peleg_1:Reu_1:217,217,Peleg_1,father,Reu_1,explicit,GEN 11:18,
Reu_1:Peleg_1:218,218,Reu_1,son,Peleg_1,inferred,GEN 11:18,
Reu_1:Serug_1:219,219,Reu_1,father,Serug_1,explicit,GEN 11:20,
Serug_1:Reu_1:220,220,Serug_1,son,Reu_1,inferred,GEN 11:20,
Serug_1:Nahor_1:221,221,Serug_1,father,Nahor_1,explicit,GEN 11:22,
Nahor_1:Serug_1:222,222,Nahor_1,son,Serug_1,inferred,GEN 11:22,
Nahor_1:Terah_1:223,223,Nahor_1,father,Terah_1,explicit,GEN 11:24,
Terah_1:Nahor_1:224,224,Terah_1,son,Nahor_1,inferred,GEN 11:24,
Terah_1:Abram_1:225,225,Terah_1,father,Abram_1,explicit,GEN 11:26,
Abram_1:Terah_1:226,226,Abram_1,son,Terah_1,inferred,GEN 11:26,
Terah_1:Nahor_2:227,227,Terah_1,father,Nahor_2,explicit,GEN 11:26,
Nahor_2:Terah_1:228,228,Nahor_2,son,Terah_1,inferred,GEN 11:26,
Terah_1:Haran_1:229,229,Terah_1,father,Haran_1,explicit,GEN 11:26,
Haran_1:Terah_1:230,230,Haran_1,son,Terah_1,inferred,GEN 11:26,
Haran_1:Lot_1:231,231,Haran_1,father,Lot_1,explicit,GEN 11:27,
Lot_1:Haran_1:232,232,Lot_1,son,Haran_1,inferred,GEN 11:27,
Abram_1:Sarai_1:233,233,Abram_1,husband,Sarai_1,inferred,GEN 11:29,
Sarai_1:Abram_1:234,234,Sarai_1,wife,Abram_1,explicit,GEN 11:29,
Nahor_2:Milcah_1:235,235,Nahor_2,husband,Milcah_1,inferred,GEN 11:29,
Milcah_1:Nahor_2:236,236,Milcah_1,wife,Nahor_2,explicit,GEN 11:29,
Haran_1:Milcah_1:237,237,Haran_1,father,Milcah_1,explicit,GEN 11:29,
Milcah_1:Haran_1:238,238,Milcah_1,daughter,Haran_1,inferred,GEN 11:29,
Haran_1:Iscah_1:239,239,Haran_1,father,Iscah_1,explicit,GEN 11:29,
Iscah_1:Haran_1:240,240,Iscah_1,daughter,Haran_1,inferred,GEN 11:29,
Mamre_1:Amor_1:241,241,Mamre_1,descendant,Amor_1,explicit,GEN 14:13,
Amor_1:Mamre_1:242,242,Amor_1,ancestor,Mamre_1,inferred,GEN 14:13,
Mamre_1:Eschol_1:243,243,Mamre_1,brother,Eschol_1,explicit,GEN 14:13,
Eschol_1:Mamre_1:244,244,Eschol_1,brother,Mamre_1,inferred,GEN 14:13,
Aner_1:Mamre_1:245,245,Aner_1,brother,Mamre_1,explicit,GEN 14:13,
Mamre_1:Aner_1:246,246,Mamre_1,brother,Aner_1,inferred,GEN 14:13,
Aner_1:Eschol_1:247,247,Aner_1,brother,Eschol_1,explicit,GEN 14:13,
Eschol_1:Aner_1:248,248,Eschol_1,brother,Aner_1,inferred,GEN 14:13,
Eschol_1:Amor_1:249,249,Eschol_1,descendant,Amor_1,inferred,GEN 14:13,
Aner_1:Amor_1:250,250,Aner_1,descendant,Amor_1,inferred,GEN 14:13,
Amor_1:Eschol_1:251,251,Amor_1,ancestor,Eschol_1,inferred,GEN 14:13,
Amor_1:Aner_1:252,252,Amor_1,ancestor,Aner_1,inferred,GEN 14:13,
Mamre_1:Abram_1:253,253,Mamre_1,ally,Abram_1,explicit,GEN 14:13,
Aner_1:Abram_1:254,254,Aner_1,ally,Abram_1,explicit,GEN 14:13,
Eschol_1:Abram_1:255,255,Eschol_1,ally,Abram_1,explicit,GEN 14:13,
Abram_1:Mamre_1:256,256,Abram_1,ally,Mamre_1,explicit,GEN 14:13,
Abram_1:Aner_1:257,257,Abram_1,ally,Aner_1,explicit,GEN 14:13,
Abram_1:Eschol_1:258,258,Abram_1,ally,Eschol_1,explicit,GEN 14:13,
Abram_1:Eliezer_1:259,259,Abram_1,original heir,Eliezer_1,explicit,GEN 15:2,
Eliezer_1:Abram_1:260,260,Eliezer_1,original inheritor,Abram_1,inferred,GEN 15:2,
Sarai_1:Hagar_1:261,261,Sarai_1,lady,Hagar_1,inferred,GEN 16:1,
Hagar_1:Sarai_1:262,262,Hagar_1,servant,Sarai_1,explicit,GEN 16:1,
Abram_1:Hagar_1:263,263,Abram_1,concubine,Hagar_1,explicit,GEN 16:2,
Hagar_1:Abram_1:264,264,Hagar_1,concubine,Abram_1,inferred,GEN 16:2,
Abram_1:Ishmael_1:265,265,Abram_1,father,Ishmael_1,explicit,GEN 16:16,
Ishmael_1:Abram_1:266,266,Ishmael_1,son,Abram_1,inferred,GEN 16:16,
Hagar_1:Ishmael_1:267,267,Hagar_1,mother,Ishmael_1,explicit,GEN 16:16,
Ishmael_1:Hagar_1:268,268,Ishmael_1,son,Hagar_1,inferred,GEN 16:16,
Abram_1:Isaac_1:269,269,Abram_1,father,Isaac_1,explicit,GEN 17:19,
Isaac_1:Abram_1:270,270,Isaac_1,son,Abram_1,explicit,GEN 17:19,
Sarai_1:Isaac_1:271,271,Sarai_1,mother,Isaac_1,explicit,GEN 17:19,
Isaac_1:Sarai_1:272,272,Isaac_1,son,Sarai_1,explicit,GEN 17:19,
Lot_1:Wife of Lot_1:273,273,Lot_1,husband,Wife of Lot_1,explicit,GEN 19:26,
Wife of Lot_1:Lot_1:274,274,Wife of Lot_1,wife,Lot_1,explicit,GEN 19:26,
Lot_1:Firstborn of Lot_1:275,275,Lot_1,father,Firstborn of Lot_1,explicit,GEN 19:31,
Firstborn of Lot_1:Lot_1:276,276,Firstborn of Lot_1,daughter,Lot_1,explicit,GEN 19:31,
Lot_1:Younger of Lot_1:277,277,Lot_1,father,Younger of Lot_1,explicit,GEN 19:31,
Younger of Lot_1:Lot_1:278,278,Younger of Lot_1,daughter,Lot_1,explicit,GEN 19:31,
Lot_1:Moab_1:279,279,Lot_1,father,Moab_1,explicit,GEN 19:37,
Moab_1:Lot_1:280,280,Moab_1,son,Lot_1,explicit,GEN 19:37,
Lot_1:Ben-ammi_1:281,281,Lot_1,father,Ben-ammi_1,explicit,GEN 19:38,
Ben-ammi_1:Lot_1:282,282,Ben-ammi_1,son,Lot_1,explicit,GEN 19:38,
Firstborn of Lot_1:Moab_1:283,283,Firstborn of Lot_1,mother,Moab_1,explicit,GEN 19:37,
Moab_1:Firstborn of Lot_1:284,284,Moab_1,son,Firstborn of Lot_1,explicit,GEN 19:37,
Younger of Lot_1:Ben-ammi_1:285,285,Younger of Lot_1,mother,Ben-ammi_1,explicit,GEN 19:38,
Ben-ammi_1:Younger of Lot_1:286,286,Ben-ammi_1,son,Younger of Lot_1,explicit,GEN 19:38,
Terah_1:Sarai_1:287,287,Terah_1,father,Sarai_1,inferred,GEN 20:12,
Sarai_1:Terah_1:288,288,Sarai_1,daughter,Terah_1,explicit,GEN 20:12,
Abram_1:Sarai_1:289,289,Abram_1,half-brother,Sarai_1,inferred,GEN 20:12,
Sarai_1:Abram_1:290,290,Sarai_1,half-sister,Abram_1,inferred,GEN 20:12,
Abimelech_1:Phicol_1:291,291,Abimelech_1,king,Phicol_1,inferred,GEN 21:22,
Phicol_1:Abimelech_1:292,292,Phicol_1,army commander,Abimelech_1,explicit,GEN 21:22,
Nahor_2:Uz_2:293,293,Nahor_2,father,Uz_2,explicit,GEN 22:21,
Uz_2:Nahor_2:294,294,Uz_2,son,Nahor_2,inferred,GEN 22:21,
Milcah_1:Uz_2:295,295,Milcah_1,mother,Uz_2,explicit,GEN 22:21,
Uz_2:Milcah_1:296,296,Uz_2,son,Milcah_1,inferred,GEN 22:21,
