person_id,person_name,surname,unique_attribute,sex,tribe,person_notes,name_instance,person_sequence
Moab_1,Moab,,son of Lot and forebear of the Moabites (GEN 19:37),male,Moabite,,1,132
Ben-ammi_1,Ben-ammi,,son of Lot and forebear of the Ammonites (GEN 19:38),male,Ammonite,,1,133
Abimelech_1,Abimelech,,King of Gerar who took Sarah (GEN 20:2),male,,,1,134
Phicol_1,Phicol,,commander of Abimelech's army (GEN 21:22),male,,,1,135
Uz_2,Uz,,son of Nahor (GEN 22:20-21),male,,,2,136
Buz_1,Buz,,son of Nahor (GEN 22:20-21),male,,,1,137
Kemuel_1,Kemuel,,son of Nahor (GEN 22:20-21),male,,,1,138
Aram_2,Aram,,son of Kemuel (GEN 22:21),male,,,2,139
Chesed_1,Chesed,,son of Nahor (GEN 22:22),male,,,1,140
Hazo_1,Hazo,,son of Nahor (GEN 22:22),male,,,1,141
Pildash_1,Pildash,,son of Nahor (GEN 22:22),male,,,1,142
Jidlaph_1,Jidlaph,,son of Nahor (GEN 22:22),male,,,1,143
Bethuel_1,Bethuel,,"son of Nahor via his wife, Milcah (GEN 22:22)",male,,,1,144
Rebekah_1,Rebekah,,"daughter of Bethuel, grandaughter of Nahor (GEN 22:23)",female,,,1,145
Reumah_1,Reumah,,concubine of Nahor (GEN 22:24),female,,,1,146
Tebah_1,Tebah,,"son of Nahor via his concubine, Reumah (GEN 22:24)",male,,,1,147
Gaham_1,Gaham,,"son of Nahor via his concubine, Reumah (GEN 22:24)",male,,,1,148
Tahash_1,Tahash,,"son of Nahor via his concubine, Reumah (GEN 22:24)",male,,,1,149
Maacah_1,Maacah,,"son of Nahor via his concubine, Reumah (GEN 22:24)",male,,,1,150
Zohar_1,Zohar,,father of Ephron who sold the cave at Machpelah to Abraham (GEN 23:8),male,Hittite,,1,151
Ephron_1,Ephron,,sold the cave at Machpelah to Abraham (GEN 23:16),male,Hittite,,1,152
Laban_1,Laban,,brother of Rebekah (GEN 24:29),male,,,1,153
Keturah_1,Keturah,,Abraham's second wife after Sarah died (GEN 25:1),female,,,1,154
Zimran_1,Zimran,,son of Abraham through Keturah (GEN 25:2),male,,,1,155
Jokshan_1,Jokshan,,son of Abraham through Keturah (GEN 25:2),male,,,1,156
Medan_1,Medan,,son of Abraham through Keturah (GEN 25:2),male,,,1,157
Midian_1,Midian,,son of Abraham through Keturah (GEN 25:2),male,,,1,158
Ishbak_1,Ishbak,,son of Abraham through Keturah (GEN 25:2),male,,,1,159
Shuah_1,Shuah,,son of Abraham through Keturah (GEN 25:2),male,,,1,160
Sheba_3,Sheba,,son of Jokshan (GEN 25:3),male,,,3,161
Dedan_2,Dedan,,son of Jokshan (GEN 25:3),male,,,2,162
Asshur_2,Asshur,,son of Dedan (GEN 25:3),male,,,2,163
Letush_1,Letush,,son of Dedan (GEN 25:3),male,,,1,164
Leum_1,Leum,,son of Dedan (GEN 25:3),male,,,1,165
Ephah_1,Ephah,,son of Midian and grandson of Abraham through Keturah (GEN 25:4),male,,,1,166
Epher_1,Epher,,son of Midian and grandson of Abraham through Keturah (GEN 25:4),male,,,1,167
Hanoch_1,Hanoch,,son of Midian and grandson of Abraham through Keturah (GEN 25:4),male,,,1,168
Abida_1,Abida,,son of Midian and grandson of Abraham through Keturah (GEN 25:4),male,,,1,169
Eldaah_1,Eldaah,,son of Midian and grandson of Abraham through Keturah (GEN 25:4),male,,,1,170
Nebaioth_1,Nebaioth,,firstborn son of Ishmael (GEN 25:13),male,Nebaioth,,1,171
Kedar_1,Kedar,,second-born son of Ishmael (GEN 25:13),male,Kedar,,1,172
Adbeel_1,Adbeel,,third-born son of Ishmael (GEN 25:13),male,Adbeel,,1,173
Mibsam_1,Mibsam,,fourth-born son of Ishmael (GEN 25:13),male,Mibsam,,1,174
Mishma_1,Mishma,,fifth-born son of Ishmael (GEN 25:14),male,Mishma,,1,175
Dumah_1,Dumah,,sixth-born son of Ishmael (GEN 25:14),male,Dumah,,1,176
Massa_1,Massa,,seventh-born son of Ishmael (GEN 25:14),male,Massa,,1,177
Hadad_1,Hadad,,eighth-born son of Ishmael (GEN 25:15),male,Hadad,,1,178
Tema_1,Tema,,ninth-born son of Ishmael (GEN 25:15),male,Tema,,1,179
Jetur_1,Jetur,,tenth-born son of Ishmael (GEN 25:15),male,Jetur,,1,180
Naphish_1,Naphish,,eleventh-born son of Ishmael (GEN 25:15),male,Naphish,,1,181
Kedemah_1,Kedemah,,twelfth-born son of Ishmael (GEN 25:15),male,Kedemah,,1,182
Esau_1,Esau,,firstborn son of Isaac (GEN 25:25-26),male,,,1,183
Jacob_1,Jacob,,second-born son of Isaac (GEN 25:25-26),male,,,1,184
Ahuzzath_1,Ahuzzath,,adviser to Abimelech (GEN 26:26),male,,,1,185
Judith_1,Judith,,"daughter of Beeri the Hittite, and wife of Esau (GEN 26:34)",female,Hittite,also called Oholibama (GEN 36:2),1,186
Beeri_1,Beeri,,"the Hittite (GEN 26:34), also called Anah (GEN 36:2)",male,Hittite,"Descendant of Seir (GEN 36:20), found the hot springs in the wilderness (GEN 36:24), and chief in Edom (GEN 36:29).",1,187
Basemath_1,Basemath,,"daughter of Elon the Hittite, and wife of Esau (GEN 26:34)",female,Hittite,also called Adah (GEN 36:2),1,188
Elon_1,Elon,,"the Hittite, father of Basemath, Esau's wife (GEN 26:34)",male,Hittite,,1,189
Mahalath_1,Mahalath,,"daughter of Ishmael, sister of Nebaioth, and wife of Esau (GEN 28:9)",female,,also called Basemath (GEN 36:2),1,190
Rachel_1,Rachel,,daughter of Laban (GEN 29:10) and wife of Jacob (GEN 29:28),female,,,1,191
Leah_1,Leah,,daughter of Laban (GEN 29:16) and wife of Jacob (GEN 29:23),female,,,1,192
Zilpah_1,Zilpah,,maid of Laban given to Leah (GEN 29:24) and wife of Jacob (GEN 30:9),female,,,1,193
Bilhah_1,Bilhah,,maid of Laban given to Rachel (GEN 29:29) and wife of Jacob (GEN 30:4),female,,,1,194
Reuben_1,Reuben,,"firstborn son of Jacob (GEN 29:32), son of Leah",male,Reuben,,1,195
Simeon_1,Simeon,,"second-born son of Jacob (GEN 29:33), son of Leah",male,Simeon,,1,196
Levi_1,Levi,,"third-born son of Jacob (GEN 29:34), son of Leah",male,Levi,,1,197
Judah_1,Judah,,"fourth-born son of Jacob (GEN 29:35), son of Leah",male,Judah,,1,198
Dan_1,Dan,,"fifth-born son of Jacob (GEN 30:5), son of Bilhah, Rachel's handmaid",male,Dan,,1,199
Naphtali_1,Naphtali,,"sixth-born son of Jacob (GEN 30:7), son of Bilhah, Rachel's handmaid",male,Naphtali,,1,200
Gad_1,Gad,,"seventh-born son of Jacob (GEN 30:11, GEN 35:26), son of Zilpah, Leah's handmaid",male,Gad,,1,201
Asher_1,Asher,,"eighth-born son of Jacob (GEN 30:11, GEN 35:26), son of Zilpah, Leah's handmaid",male,Asher,,1,202
Issachar_1,Issachar,,"ninth-born son of Jacob (GEN 30:17), son of Leah",male,Issachar,,1,203
Zebulun_1,Zebulun,,"tenth-born son of Jacob (GEN 30:19), son of Leah",male,Zebulun,,1,204
Dinah_1,Dinah,,"daughter of Jacob (GEN 30:21), daughter of Leah",female,,,1,205
Joseph_1,Joseph,,eleventh-born son of Jacob and Rachel (GEN 30:24),male,,,1,206
Hamor_1,Hamor,,"the Hivite, father of Shechem (GEN 34:2)",male,Hivite,,1,207
Shechem_1,Shechem,,"son of Hamor, the Hivite (GEN 33:19, GEN 34:2) who raped Dinah (GEN 34:2)",male,Hivite,,1,208
Deborah_1,Deborah,,Rebekah's nurse (GEN 35:8),female,,,1,209
Benjamin_1,Benjamin,,twelfth-born son of Jacob and Rachel (GEN 35:18),male,Benjamin,,1,210
Zibeon_1,Zibeon,,"the Hivite and grandfather of Oholibamah, Esau's wife (GEN 36:2)",male,Hivite,,1,211
Eliphaz_1,Eliphaz,,"son of Esau (GEN 36:4, 10, 15)",male,Edomite,,1,212
Reuel_1,Reuel,,"son of Esau (GEN 36:4, 10, 17)",male,Edomite,,1,213
Jeush_1,Jeush,,son of Esau (GEN 36:5) and chief of Edom (GEN 36:18),male,Edomite,,1,214
Jalam_1,Jalam,,son of Esau (GEN 36:5) and chief of Edom (GEN 36:18),male,Edomite,,1,215
Korah_1,Korah,,son of Esau (GEN 36:5) and chief of Edom (GEN 36:18),male,Edomite,,1,216
Teman_1,Teman,,"son of Eliphaz (GEN 36:11) and chief of Edom (GEN 36:15, 42)",male,Edomite,,1,217
Omar_1,Omar,,son of Eliphaz (GEN 36:11) and chief of Edom (GEN 36:15),male,Edomite,,1,218
Zepho_1,Zepho,,son of Eliphaz (GEN 36:11) and chief of Edom (GEN 36:15),male,Edomite,,1,219
Gatam_1,Gatam,,son of Eliphaz (GEN 36:11) and chief of Edom (GEN 36:16),male,Edomite,,1,220
Kenaz_1,Kenaz,,"son of Eliphaz (GEN 36:11) and chief of Edom (GEN 36:15, 42)",male,Edomite,,1,221
Timna_1,Timna,,concubine of Esau's son Eliphaz (GEN 36:12) and sister of Lotan (GEN 36:22),female,Edomite,,1,222
Amalek_1,Amalek,,son of Eliphaz (GEN 36:12) and chief of Edom (GEN 36:16),male,Edomite,the Amalekites (GEN 14:7),1,223
Nahath_1,Nahath,,son of Reuel (GEN 36:13) and chief of Edom (GEN 36:17),male,Edomite,,1,224
Zerah_1,Zerah,,son of Reuel (GEN 36:13) and chief of Edom (GEN 36:17),male,Edomite,,1,225
Shammah_1,Shammah,,son of Reuel (GEN 36:13) and chief of Edom (GEN 36:17),male,Edomite,,1,226
Mizzah_1,Mizzah,,son of Reuel (GEN 36:13) and chief of Edom (GEN 36:17),male,Edomite,,1,227
Korah_2,Korah,,chief of Edom and son of Eliphaz (GEN 36:15-16),male,Edomite,,2,228
Seir_1,Seir,,the Horite (dwelt near Mt. Hor- GEN 36:20),male,,,1,229
Lotan_1,Lotan,,son of Seir (GEN 36:20) and chief in Edom (GEN 36:29),male,Edomite,,1,230
Shobal_1,Shobal,,son of Seir (GEN 36:20) and chief in Edom (GEN 36:29),male,Edomite,,1,231
Zibeon_2,Zibeon,,son of Seir (GEN 36:20) and chief in Edom (GEN 36:29),male,Edomite,,2,232
Dishon_1,Dishon,,son of Seir (GEN 36:21) and chief in Edom (GEN 36:29),male,Edomite,,1,233
Ezer_1,Ezer,,son of Seir (GEN 36:21) and chief in Edom (GEN 36:29),male,Edomite,,1,234
Dishan_1,Dishan,,son of Seir (GEN 36:21) and chief in Edom (GEN 36:29),male,Edomite,,1,235
Hori_1,Hori,,son of Lotan (GEN 36:22),male,Edomite,,1,236
Hemam_1,Hemam,,son of Lotan (GEN 36:22),male,Edomite,,1,237
Alvan_1,Alvan,,son of Shobal (GEN 36:23),male,Edomite,,1,238
Manahath_1,Manahath,,son of Shobal (GEN 36:23),male,Edomite,,1,239
Ebal_1,Ebal,,son of Shobal (GEN 36:23),male,Edomite,,1,240
Shepho_1,Shepho,,son of Shobal (GEN 36:23),male,Edomite,,1,241
Onam_1,Onam,,son of Shobal (GEN 36:23),male,Edomite,,1,242
Aiah_1,Aiah,,son of Zibeon (GEN 36:24),male,Edomite,,1,243
Dishon_2,Dishon,,son of Anah (GEN 36:25),male,Edomite,,2,244
Hemdan_1,Hemdan,,son of Dishon (GEN 36:26),male,Edomite,,1,245
Eshban_1,Eshban,,son of Dishon (GEN 36:26),male,Edomite,,1,246
Ithran_1,Ithran,,son of Dishon (GEN 36:26),male,Edomite,,1,247
Cheran_1,Cheran,,son of Dishon (GEN 36:26),male,Edomite,,1,248
Bilhan_1,Bilhan,,son of Ezer (GEN 36:27),male,Edomite,,1,249
Zaavan_1,Zaavan,,son of Ezer (GEN 36:27),male,Edomite,,1,250
Akan_1,Akan,,son of Ezer (GEN 36:27),male,Edomite,,1,251
Uz_3,Uz,,son of Dishan (GEN 36:28),male,Edomite,,3,252
Aran_1,Aran,,son of Dishan (GEN 36:28),male,Edomite,,1,253
Bela_1,Bela,,"King of Edom, his city was Dinhabah (GEN 36:32)",male,Edomite,,1,254
Beor_1,Beor,,"father of Bela, King of Edom (GEN 36:32)",male,Edomite,,1,255
Jobab_2,Jobab,,"King of Edom, successor to Bela (GEN 36:33)",male,Edomite,,2,256
Zerah_2,Zerah,,of Bozrah (GEN 36:33),male,,,2,257
Husham_1,Husham,,"King of Edom, successor to Jobab, from the land of the Temanites (GEN 36:34)",male,Edomite,,1,258
Hadad_2,Hadad,,"King of Edom, successor to Husham, his city was Avith (GEN 36:35)",male,Edomite,,2,259
Bedad_1,Bedad,,"defeated Midian in the field of Moab (GEN 36:35, 1CH 1:46)",male,Edomite,,1,260
Samlah_1,Samlah,,"King of Edom, successor to Hadad, from Masrekah (GEN 36:36)",male,Edomite,,1,261
Shaul_1,Shaul,,"King of Edom, successor to Samlah, from Rehoboth on the [Euphrates] river (GEN 36:37)",male,Edomite,,1,262
Baal-hanan_1,Baal-hanan,,"King of Edom, successor to Shaul (GEN 36:38)",male,Edomite,,1,263
Achbor_1,Achbor,,father of Baal-hanan (GEN 36:38),male,Edomite,,1,264
Hadar_1,Hadar,,"King of Edom, successor to Baal-hanan, his city was Pau (GEN 36:39)",male,Edomite,,1,265
Mehetabel_1,Mehetabel,,wife of King Hadar (GEN 36:39),female,,,1,266
Matred_1,Matred,,mother of Mehetabel (GEN 36:39),female,,,1,267
Mezahab_1,Mezahab,,mother of Matred (GEN 36:39),female,,,1,268
Timna_2,Timna,,chief of Edom (GEN 36:40),male,Edomite,,2,269
Alvah_1,Alvah,,chief of Edom (GEN 36:40),male,Edomite,,1,270
Jetheth_1,Jetheth,,chief of Edom (GEN 36:40),male,Edomite,,1,271
Oholibamah_1,Oholibamah,,chief of Edom (GEN 36:41),male,Edomite,,1,272
Elah_1,Elah,,chief of Edom (GEN 36:41),male,Edomite,,1,273
Pinon_1,Pinon,,chief of Edom (GEN 36:41),male,Edomite,,1,274
Mibzar_1,Mibzar,,chief of Edom (GEN 36:42),male,Edomite,,1,275
Magdiel_1,Magdiel,,chief of Edom (GEN 36:43),male,Edomite,,1,276
Iram_1,Iram,,chief of Edom (GEN 36:43),male,Edomite,,1,277
Potiphar_1,Potiphar,,Pharaoh's officer (GEN 37:36),male,,,1,278
Pharaoh_2,Pharaoh,,Pharaoh of Joseph's lifetime (GEN 37:36),male,,,2,279
Hirah_1,Hirah,,an Adullamite (GEN 38:1),male,,,1,280
Shua_1,Shua,,Canaanite father of Judah's wife (GEN 38:2),male,,,1,281
Er_1,Er,,firstborn son of Judah (GEN 38:3),male,Judah,,1,282
Onan_1,Onan,,second-born son of Judah (GEN 38:4),male,Judah,,1,283
Shelah_2,Shelah,,third-born son of Judah (GEN 38:5),male,Judah,the Shelanites (NUM 26:20),2,284
Tamar_1,Tamar,,"wife of Er (GEN 38:6), and mother of Perez (GEN 38:29) and Zerah (GEN 38:30) by Judah",male,,,1,285
Perez_1,Perez,,son of Judah and Tamar (GEN 38:29),male,Judah,the Perezites (NUM 26:20),1,286
Zerah_3,Zerah,,son of Judah and Tamar (GEN 38:30),male,Judah,the Zerahites (NUM 26:20),3,287
Asenath_1,Asenath,,wife of Joseph (GEN 41:45),female,,,1,288
Potiphera_1,Potiphera,,priest of On [Heliopolis- NAS 1995 notes] (GEN 41:45),male,,,1,289
Manasseh_1,Manasseh,,firstborn son of Joseph (GEN 41:51),male,Manasseh,,1,290
Ephraim_1,Ephraim,,second son of Joseph (GEN 41:52),male,Ephraim,,1,291
Hanoch_2,Hanoch,,son of Reuben (GEN 46:9),male,Reuben,"from the list of ""sons of Israel"" who ""went to Egypt"" (GEN 46:8-27), the Hanochites (NUM 26:5)",2,292
Pallu_1,Pallu,,son of Reuben (GEN 46:9),male,Reuben,"from the list of ""sons of Israel"" who ""went to Egypt"" (GEN 46:8-27), the Palluites (NUM 26:5)",1,293
Hezron_1,Hezron,,son of Reuben (GEN 46:9),male,Reuben,"from the list of ""sons of Israel"" who ""went to Egypt"" (GEN 46:8-27), the Hezronites (NUM 26:6)",1,294
Carmi_1,Carmi,,son of Reuben (GEN 46:9),male,Reuben,"from the list of ""sons of Israel"" who ""went to Egypt"" (GEN 46:8-27), the Carmites (NUM 26:6)",1,295
Jemuel_1,Jemuel,,son of Simeon (GEN 46:10),male,Simeon,"from the list of ""sons of Israel"" who ""went to Egypt"" (GEN 46:8-27)",1,296
Jamin_1,Jamin,,son of Simeon (GEN 46:10),male,Simeon,"from the list of ""sons of Israel"" who ""went to Egypt"" (GEN 46:8-27), the Jaminites (NUM 26:12)",1,297
Ohad_1,Ohad,,son of Simeon (GEN 46:10),male,Simeon,"from the list of ""sons of Israel"" who ""went to Egypt"" (GEN 46:8-27)",1,298
Jachin_1,Jachin,,son of Simeon (GEN 46:10),male,Simeon,"from the list of ""sons of Israel"" who ""went to Egypt"" (GEN 46:8-27), the Jachinites (NUM 26:12)",1,299
Zohar_2,Zohar,,son of Simeon (GEN 46:10),male,Simeon,"from the list of ""sons of Israel"" who ""went to Egypt"" (GEN 46:8-27), the Zerahites (NUM 26:13) [Zorah is also called Zerah (GEN 26:10)]",2,300
Shaul_2,Shaul,,son of Simeon and a Canaanite woman (GEN 46:10),male,Simeon,"from the list of ""sons of Israel"" who ""went to Egypt"" (GEN 46:8-27), the Shaulites (NUM 26:13)",2,301
Gershon_1,Gershon,,son of Levi (GEN 46:11),male,Levi,"from the list of ""sons of Israel"" who ""went to Egypt"" (GEN 46:8-27), the Gershonites (NUM 26:57)",1,302
Kohath_1,Kohath,,son of Levi (GEN 46:11),male,Levi,"from the list of ""sons of Israel"" who ""went to Egypt"" (GEN 46:8-27), the Kohathites (NUM 26:57)",1,303
